Sat.EarthMJ2000Eq.X,Sat.EarthMJ2000Eq.Y,Sat.EarthMJ2000Eq.Z,Sat.ElapsedSecs
-326041.0465067916,208980.213286997,54897.88863610411,528095.1271704049
-326511.0560096976,209064.652518109,55365.13266988708,531641.5025393246
-326907.8039124485,209191.0527728462,55813.39806501649,534809.8658244358
-327248.0204217139,209357.2887627958,56244.91271972054,537638.9439153601
-327544.4161289657,209558.9825097482,56658.78818400588,540149.2015428026
-327807.8803589451,209789.7527264066,57053.1996870017,542360.4055780219
-328049.4969930587,210043.9529859981,57429.09698582334,544310.0788809475
-328280.2625314557,210318.4422674409,57790.37094775479,546047.1464621834
-328396.4814454514,210465.0794259696,57969.6418154297,546862.3703923076
-328424.8779238642,210501.5059233795,58012.95715968277,547054.9096709001
-328463.2677528182,210551.0443912597,58071.15447994519,547310.9508549795
-328606.4592272168,210737.879150537,58283.98592749347,548222.2205337603
-328849.4218249547,211056.3501872985,58626.70433321608,549612.0999298291
-328946.6828364951,211182.3492086101,58756.64063700024,550116.0569711588
-328975.3878776299,211219.242055429,58794.16734813204,550259.4114327338
-329002.5364735195,211253.9932992121,58829.31351556984,550392.8075536969
-329030.705923691,211289.8971803967,58865.42615289061,550529.0154682123
-329119.6661959349,211402.1613683761,58977.10713882351,550944.9143099715
-329382.0602200656,211721.8129700899,59286.17226073094,552057.0393646136
-329722.0890718952,212107.3642691924,59645.20082591222,553287.6823227271
-330112.6199259674,212509.6919920264,60008.6391211781,554481.8624068634
-330533.3835961121,212898.7333235595,60353.16708483065,555581.2826364068
-330990.3599054848,213276.0021696257,60683.94131789973,556620.7755450276
-331026.037332484,213303.6878868972,60708.16300566164,556696.6379110934
-331055.8135424335,213296.2759100109,60711.82850927292,556756.6379109747
-331141.4289601918,213275.2437481472,60722.23912608779,556926.9643228501
-331408.5604877318,213211.9062874948,60753.49638495846,557439.1210034955
-332086.6235623872,213061.3792681026,60824.63313577947,558631.2137627159
-332910.3750108914,212886.8153291256,60895.83059483376,559923.9923737943
-333833.3772296245,212690.2361599089,60956.94040723307,561228.6612942349
-334846.9511553763,212464.3338314111,61002.78205012035,562534.7103696316
-335946.667534523,212200.9401665764,61028.89933029554,563840.918308706
-337127.8258441918,211892.1219371523,61031.10007817988,565147.1331226174
-338384.8849973722,211530.3956937301,61005.44654380161,566453.2997381757
-339711.4637351387,211108.8201732255,60948.29320442244,567759.3747083098
-341100.3825657252,210621.0789542601,60856.32669778053,569065.2989097987
-342543.7467905923,210061.5486018153,60726.60260515328,570371.0062792059
-344033.0483322915,209425.3536168515,60556.57615173557,571676.4398115221
-345559.2159399614,208708.4379963886,60344.13504304104,572981.515660265
-347112.8106498998,207907.5644462816,60087.60936852726,574286.2075365381
-348684.0079010638,207020.4052120931,59785.80601747267,575590.4438124737
-350262.7846980257,206045.5296697576,59438.01050920565,576894.1771509591
-351839.0570765738,204982.3936882925,59043.98390450879,578197.4078578292
-353402.6932074705,203831.4031431859,58603.98574858317,579500.1051314757
-354943.7221597959,202593.8396782311,58118.74509550999,580802.2906817612
-356452.3581067515,201271.9026151617,57589.47333858101,582103.9704349008
-357919.1527200323,199868.6468800816,57017.83615668314,583405.1751903025
-359335.1223014343,198387.9116341113,56405.91894201461,584705.9880253044
-360691.7530478982,196834.3605972945,55756.23742748686,586006.4660520991
-361981.1585871167,195213.3600928434,55071.6810731118,587306.7036676803
